Word,POS
techcorp,VB
a,DT
leading,VBG
tech,NN
company,NN
based,VBN
in,IN
new,JJ
york,NN
announced,VBD
on,IN
monday,NN
that,IN
ceo,NN
jane,NN
doe,NN
plans,VBZ
to,TO
introduce,VB
a,DT
new,JJ
aipowered,JJ
smartphone,NN
the,DT
device,NN
named,VBN
nexus,JJ
x,NN
will,MD
debut,VB
in,IN
paris,JJ
next,JJ
month,NN
meanwhile,RB
critics,NNS
like,IN
dr,NN
mark,NN
smith,NN
argue,NN
that,IN
the,DT
launch,NN
could,MD
impact,VB
environmental,JJ
policies,NNS
the,DT
company,NN
also,RB
partnered,VBD
with,IN
healthorg,NN
a,DT
nonprofit,JJ
to,TO
promote,VB
digital,JJ
wellness,NN
apple,NN
declined,VBD
to,TO
comment,VB
on,IN
the,DT
news,NN
the,DT
event,NN
will,MD
coincide,VB
with,IN
the,DT
global,JJ
tech,NN
summit,NN
2024,CD
lionel,NN
messi,VBZ
the,DT
argentine,JJ
footballer,NN
signed,VBD
a,DT
20,CD
million,CD
contract,NN
with,IN
miami,NN
fc,NN
on,IN
july,NN
15,CD
2023,CD
the,DT
deal,NN
was,VBD
announced,VBN
during,IN
a,DT
press,NN
conference,NN
at,IN
hard,JJ
rock,NN
stadium,NN
in,IN
florida,JJ
fans,NNS
from,IN
across,IN
south,NN
america,NN
flooded,VBD
social,JJ
media,NNS
to,TO
celebrate,VB
the,DT
move,NN
president,NN
john,NNS
harper,VBP
met,VBN
with,IN
german,JJ
chancellor,NN
angela,NN
weber,NN
in,IN
berlin,NN
last,JJ
friday,NN
to,TO
discuss,VB
nato,JJ
policies,NNS
the,DT
united,JJ
nations,NNS
will,MD
host,VB
a,DT
climate,NN
summit,NN
in,IN
geneva,JJ
switzerland,NN
in,IN
december,NN
2025,CD
critics,NNS
warn,VBP
that,IN
the,DT
new,JJ
tax,NN
law,NN
hb,NN
1420,CD
might,MD
face,VB
delays,NNS
in,IN
congress,NN
marie,NN
curie,NN
born,VBN
in,IN
warsaw,NN
in,IN
1867,CD
discovered,VBD
radium,NN
and,CC
won,VBD
the,DT
nobel,JJ
prize,NN
in,IN
chemistry,NN
in,IN
1911,CD
in,IN
the,DT
great,JJ
gatsby,NN
jay,NN
gatsby,JJ
hosts,NNS
lavish,JJ
parties,NNS
in,IN
west,JJS
egg,JJ
new,JJ
york,NN
reflecting,VBG
the,DT
excesses,NNS
of,IN
the,DT
jazz,NN
age,NN
a,DT
recent,JJ
study,NN
in,IN
nature,JJ
journal,JJ
links,NNS
sleep,JJ
deprivation,NN
to,TO
decreased,VBN
cognitive,JJ
performance,NN
